User ID,ID,Transaction Value,Commission,Processing Cost,Promo Code Cost,Inter Gta Tion Cost,Destination ID,Departure Date,Arrival Date,Created Date
121100,1110022,5547,632.358,245.7321,150,137.5656,413,2020-03-30,2020-03-11,2020-01-10
121100,1110001,5836,490.224,258.5348,50,,1132,2020-09-03,2020-08-17,2020-06-06
121100,1110004,5181,538.824,241.4346,100,123.8259,173,2020-02-11,2020-01-14,2019-12-06
121100,1110010,3653,292.24,172.7869,50,,1098,2020-03-18,2020-03-03,2020-02-28
121100,1110013,4772,391.304,250.53,,,405,2019-12-26,2019-12-20,2019-12-05
121100,1110018,3518,302.548,195.6008,100,,208,2020-03-04,2020-02-26,2019-12-02
121100,1110019,4422,367.026,263.5512,,89.3244,607,2020-06-13,2020-06-02,2020-05-04
121102,1110028,4707,513.063,262.1799,150,116.2629,63,2020-05-21,2020-05-15,2020-05-12
121102,1110032,2704,224.432,142.5008,50,,1021,2020-10-11,2020-09-21,2020-07-25
121102,1110026,7244,753.376,375.9636,100,135.4628,292,2020-08-01,2020-07-05,2020-04-07
121102,1110048,5789,549.955,298.7124,150,,360,2020-10-08,2020-09-29,2020-08-01
121102,1110046,7346,844.79,332.7738,50,121.9436,175,2020-08-04,2020-07-11,2020-06-30
121102,1110045,4683,412.104,221.0376,100,73.0548,773,2020-07-21,2020-06-22,2020-04-14
121102,1110042,8023,954.737,444.4742,100,120.345,603,2020-08-22,2020-07-28,2020-05-15
121102,1110039,2525,247.45,121.705,100,,438,2020-06-26,2020-06-05,2020-04-22
121102,1110035,6095,505.885,365.7,100,127.3855,1334,2020-11-21,2020-10-25,2020-10-05
121102,1110058,3450,351.9,167.325,150,65.895,91,2020-08-07,2020-07-29,2020-05-24
121102,1110052,4149,369.261,240.2271,,,1094,2020-06-03,2020-05-07,2020-04-17
121102,1110059,2122,207.956,117.5588,,50.0792,34,2020-09-26,2020-09-11,2020-08-17
