ID,Region ID,Created Date,Language,Role,Status
121100,755,2019-11-28,en,master,deleted
121102,1174,2020-04-02,fr,finance,deleted
121105,1267,2021-03-09,se,finance,active
121108,763,2019-04-05,en,manager,active
121110,900,2021-10-04,en,manager,active
121113,624,2020-05-29,ua,manager,deleted
121116,1315,2019-01-19,se,master,deleted
121119,27,2019-07-28,de,manager,active
121120,497,2021-06-26,ua,finance,deleted
121122,1010,2019-11-26,en,manager,active
121123,500,2020-10-17,ua,finance,deleted
121124,1110,2021-04-23,fr,finance,deleted
121125,1054,2019-11-07,en,master,active
121127,972,2019-10-22,en,manager,active
121130,330,2020-04-01,en,finance,deleted
121133,874,2019-10-29,en,master,active
121135,660,2021-03-17,ua,master,deleted
121138,1156,2019-01-29,fr,finance,deleted
121139,1326,2020-07-20,se,master,active
121142,810,2019-02-16,en,finance,active
121144,1225,2021-04-07,se,manager,deleted
121145,1103,2019-01-06,fr,master,deleted
121147,1105,2021-08-17,fr,finance,deleted
121149,712,2020-09-27,en,master,deleted
121151,279,2020-10-15,en,finance,deleted
121154,410,2021-12-10,es,finance,awaiting_confirmation
121155,1397,2019-11-04,ua,manager,deleted
121157,9,2020-08-02,de,finance,active
121158,435,2020-05-25,es,master,active
121159,578,2020-03-25,ua,manager,deleted
121161,281,2021-02-14,en,finance,active
121164,175,2020-09-12,de,finance,active
121167,422,2021-12-01,en,finance,deleted
121168,792,2019-03-09,en,master,active
121170,245,2021-07-04,ru,master,deleted
121172,1281,2020-07-01,se,master,deleted
121173,526,2021-07-03,ua,master,active
121176,792,2019-10-12,en,manager,deleted
121177,972,2019-09-17,en,manager,active
121179,1237,2021-10-19,se,finance,deleted
121180,868,2021-12-09,en,master,awaiting_confirmation
121182,561,2019-04-21,ua,manager,active
121184,779,2019-08-13,en,master,active
121185,57,2021-03-06,de,finance,deleted
121187,1267,2019-06-29,se,master,deleted
121189,781,2019-04-08,en,master,deleted
121192,1071,2020-09-28,fr,master,active
121193,1237,2020-12-03,se,master,active
121195,844,2021-02-22,en,manager,deleted
121197,1160,2020-09-02,fr,manager,active
121200,1142,2021-12-08,fr,finance,awaiting_confirmation
121201,789,2020-03-17,en,manager,active
121202,1116,2020-10-02,fr,master,deleted
121203,712,2021-04-23,en,finance,active
121206,53,2020-04-07,de,finance,deleted
121208,1193,2021-07-13,fr,finance,deleted
121211,1040,2019-09-06,en,manager,active
121214,1023,2019-03-11,en,master,deleted
121215,660,2019-03-16,ua,finance,active
121217,1304,2020-03-23,se,master,deleted
121219,836,2019-08-08,en,manager,deleted
121220,1315,2021-05-23,se,master,active
121222,740,2021-08-13,en,finance,active
121225,1174,2019-07-06,fr,manager,active
121227,456,2021-06-06,es,finance,deleted
121230,1033,2021-08-15,en,master,active
121231,1125,2020-01-09,fr,manager,active
121234,673,2020-10-05,en,master,active
121237,1447,2020-05-07,no,finance,active
121239,1031,2021-01-09,en,master,active
121240,335,2020-08-09,it,manager,active
121241,328,2021-03-22,en,finance,deleted
121244,17,2019-07-25,de,master,deleted
121245,861,2019-12-05,en,master,active
121247,1355,2019-06-20,no,manager,deleted
121250,497,2020-03-01,ua,manager,deleted
121252,1439,2021-02-24,no,master,active
121254,930,2020-02-01,en,manager,active
121255,312,2020-01-04,en,manager,active
121257,1273,2020-04-27,se,finance,deleted
121260,1021,2020-04-28,en,master,active
121261,768,2019-10-19,en,master,active
121263,414,2021-11-29,es,finance,deleted
121264,240,2021-02-24,ru,master,deleted
121267,1401,2021-08-24,ua,master,active
121270,395,2020-01-05,it,finance,active
121271,1183,2019-07-23,fr,manager,active
121273,1369,2021-01-30,no,master,deleted
121275,814,2021-12-17,en,master,awaiting_confirmation
121277,995,2019-09-21,en,master,deleted
121279,30,2021-05-11,de,master,deleted
121282,540,2020-03-03,ua,master,active
121285,617,2020-04-15,ua,manager,active
121286,1261,2020-11-19,se,manager,active
121288,667,2019-03-16,ua,master,active
121290,1358,2019-12-05,no,master,active
121292,1203,2021-03-19,fr,finance,active
121293,1129,2020-04-27,fr,manager,deleted
121296,1441,2021-07-24,no,finance,deleted
121297,488,2021-09-07,ua,finance,active
121298,1193,2020-06-12,fr,manager,active
121299,779,2019-04-03,en,master,active
121301,228,2020-12-28,ru,manager,deleted
121303,464,2021-06-20,ua,master,active
121304,119,2021-06-13,de,master,active
121307,102,2021-04-19,de,manager,active
121310,1154,2020-03-16,fr,manager,active
121312,269,2020-02-24,en,manager,deleted
121315,1237,2020-03-29,se,finance,active
121318,235,2020-04-06,ru,master,active
121321,57,2020-01-28,de,manager,active
121322,624,2021-07-29,ua,finance,active
121324,656,2019-03-31,ua,finance,deleted
121326,846,2020-05-07,en,manager,active
121328,544,2019-02-08,ua,manager,deleted
121331,697,2021-06-23,en,manager,active
121334,312,2019-01-14,en,master,active
121335,946,2021-06-28,en,manager,active
121338,1405,2019-08-24,no,finance,deleted
121339,955,2021-08-10,en,manager,deleted
121340,1229,2021-05-02,se,master,deleted
121341,584,2021-11-03,ua,manager,active
121342,39,2020-09-09,de,manager,deleted
121343,297,2020-09-21,en,finance,deleted
121344,1047,2019-06-23,en,master,active
121346,1156,2021-12-20,fr,finance,awaiting_confirmation
121348,712,2020-03-15,en,manager,active
121349,555,2019-05-28,ua,master,deleted
121352,1462,2021-07-17,no,finance,deleted
121355,852,2021-10-06,en,manager,deleted
121356,182,2021-11-04,ua,manager,deleted
121357,620,2021-03-11,ua,manager,active
121360,1237,2019-08-02,se,finance,active
121361,1384,2021-08-03,ua,finance,active
121364,127,2019-09-19,de,master,active
121366,1075,2020-05-26,fr,master,deleted
121368,105,2020-01-05,de,master,deleted
121370,1344,2021-09-30,se,finance,active
