order_id,order_created_date,transaction_value,commission,processing_cost,promocode_cost,integration_cost,user_id,user_created_date,user_region_code
1110097,2021-04-04,4721,429.611,236.05,150,74.1197,121105,2021-03-09,se
1110415,2021-04-24,6309,624.591,275.0724,100,120.5019,121123,2020-10-17,ua
1110406,2021-04-16,3095,318.785,127.2045,,,121123,2020-10-17,ua
1110399,2021-04-14,2017,203.717,84.3106,100,49.4165,121123,2020-10-17,ua
1110706,2021-04-09,4593,367.44,235.6209,150,72.1101,121144,2021-04-07,se
1110806,2021-04-02,7239,731.139,310.5531,150,,121149,2020-09-27,en
1110848,2021-04-11,1829,213.993,76.4522,,44.8105,121151,2020-10-15,en
1111037,2021-04-27,4235,440.44,183.799,,96.9815,121161,2021-02-14,en
1111461,2021-04-15,4313,426.987,207.4553,,83.2409,121185,2021-03-06,de
1111588,2021-04-26,2660,289.94,146.034,,48.146,121193,2020-12-03,se
1111624,2021-04-07,8480,992.16,485.056,,,121195,2021-02-22,en
1111609,2021-04-12,6579,710.532,300.0024,50,151.317,121195,2021-02-22,en
1111725,2021-04-19,4660,526.58,217.622,150,102.52,121202,2020-10-02,fr
1111731,2021-04-28,3501,360.603,204.8085,100,,121203,2021-04-23,en
1112286,2021-04-05,1700,164.9,96.73,150,27.03,121234,2020-10-05,en
1112276,2021-04-21,4157,411.543,197.8732,,96.8581,121234,2020-10-05,en
1112266,2021-04-05,1918,212.898,86.5018,150,45.4566,121234,2020-10-05,en
1112260,2021-04-12,3270,287.76,170.367,,65.727,121234,2020-10-05,en
1112352,2021-04-30,7420,742,417.746,100,,121239,2021-01-09,en
1112400,2021-04-27,2737,325.703,162.5778,50,42.4235,121241,2021-03-22,en
1112798,2021-04-07,4692,389.436,189.0876,100,,121264,2021-02-24,ru
1112785,2021-04-01,2035,193.325,89.133,,44.1595,121264,2021-02-24,ru
1112948,2021-04-23,3443,354.629,177.3145,100,69.5486,121273,2021-01-30,no
1112936,2021-04-23,4496,395.648,217.6064,150,101.6096,121273,2021-01-30,no
1113097,2021-04-23,7408,800.064,409.6624,,165.1984,121286,2020-11-19,se
1113095,2021-04-03,2518,292.088,143.526,,52.878,121286,2020-11-19,se
1113225,2021-04-24,6903,717.912,279.5715,100,,121292,2021-03-19,fr
1113207,2021-04-06,2041,197.977,100.009,,35.9216,121292,2021-03-19,fr
1113201,2021-04-01,5765,611.09,344.747,100,,121292,2021-03-19,fr
1113420,2021-04-22,7086,609.396,393.273,50,175.0242,121301,2020-12-28,ru
1114115,2021-04-03,7694,638.602,353.1546,100,134.645,121343,2020-09-21,en
1114586,2021-04-27,3958,395.8,176.131,150,87.4718,121371,2020-11-21,ua
1114930,2021-04-12,3952,335.92,225.6592,,97.6144,121394,2020-12-23,se
1114916,2021-04-24,6556,537.592,352.7128,150,137.676,121394,2020-12-23,se
1114912,2021-04-14,4206,479.484,205.6734,,68.5578,121394,2020-12-23,se
1114964,2021-04-21,7763,706.433,323.7171,50,,121397,2021-02-04,ru
1114961,2021-04-20,2463,209.355,128.3223,,50.9841,121397,2021-02-04,ru
1115110,2021-04-18,2103,214.506,112.0899,,,121403,2020-12-02,se
1115344,2021-04-22,6695,562.38,328.055,50,101.764,121417,2021-02-15,en
1115334,2021-04-08,2282,266.994,105.6566,150,54.5398,121417,2021-02-15,en
1115419,2021-04-26,7299,766.395,432.1008,100,147.4398,121421,2020-11-27,fr
1115445,2021-04-14,1666,144.942,84.966,50,,121424,2020-11-11,en
1115602,2021-04-01,4314,496.11,181.188,150,86.7114,121432,2020-11-11,it
1115705,2021-04-07,2774,324.558,112.9018,150,,121437,2020-11-08,ua
1115675,2021-04-10,8194,729.266,350.7032,150,189.2814,121437,2020-11-08,ua
1115748,2021-04-15,1654,152.168,82.7,150,,121438,2021-04-06,no
1115811,2021-04-18,3859,362.746,189.091,,75.6364,121441,2020-11-01,en
1115788,2021-04-13,2984,253.64,129.2072,100,51.0264,121441,2020-11-01,en
1115923,2021-04-27,3028,330.052,161.6952,100,56.9264,121445,2021-04-01,no
1116121,2021-04-29,4196,499.324,183.3652,100,,121458,2020-12-12,ua
1116118,2021-04-26,5825,646.575,341.345,150,96.695,121458,2020-12-12,ua
1116116,2021-04-26,3854,396.962,175.7424,,74.3822,121458,2020-12-12,ua
1116595,2021-04-17,5415,590.235,262.086,50,81.7665,121484,2020-10-29,se
1116743,2021-04-24,2340,252.72,102.258,100,46.332,121493,2021-02-09,en
1116736,2021-04-01,2445,254.28,99.5115,100,42.543,121493,2021-02-09,en
1116712,2021-04-13,1982,225.948,86.6134,100,45.3878,121493,2021-02-09,en
1116934,2021-04-27,3334,350.07,161.699,50,79.0158,121505,2020-10-19,ua
1116970,2021-04-27,2019,220.071,103.5747,150,39.9762,121506,2020-10-15,en
1116953,2021-04-05,4551,459.651,234.8316,150,92.8404,121506,2020-10-15,en
1117020,2021-04-26,4023,410.346,212.8167,100,,121508,2021-02-24,ua
1117299,2021-04-26,3291,273.153,157.968,100,,121519,2021-01-09,en
1117296,2021-04-07,3662,329.58,205.8044,150,73.9724,121519,2021-01-09,en
1117287,2021-04-25,2969,311.745,131.8236,150,67.6932,121519,2021-01-09,en
1117518,2021-04-12,2818,264.892,137.2366,,51.2876,121537,2021-03-14,se
1118339,2021-04-17,5648,643.872,311.2048,50,128.2096,121578,2020-12-21,es
1118334,2021-04-26,6230,566.93,291.564,100,,121578,2020-12-21,es
1118392,2021-04-22,3174,292.008,185.0442,150,70.7802,121581,2020-10-24,ua
1118684,2021-04-02,5510,567.53,220.4,50,89.262,121593,2020-11-15,en
1118672,2021-04-05,6933,686.367,309.2118,,134.5002,121593,2020-11-15,en
1118655,2021-04-21,4229,401.755,195.8027,150,,121593,2020-11-15,en
1118654,2021-04-22,2281,246.348,128.8765,150,,121593,2020-11-15,en
1118848,2021-04-23,2369,222.686,100.6825,50,44.3003,121601,2021-02-17,de
1118844,2021-04-09,4082,408.2,193.4868,150,101.6418,121601,2021-02-17,de
1118933,2021-04-20,6519,756.204,294.0069,,,121606,2021-04-15,se
1119060,2021-04-03,3812,411.696,173.8272,150,,121616,2021-02-20,en
1119322,2021-04-02,4679,411.752,204.0044,150,,121636,2020-10-07,fr
1119678,2021-04-19,7510,645.86,334.946,50,,121658,2020-12-06,se
1119673,2021-04-29,7877,732.561,374.9452,50,189.048,121658,2020-12-06,se
1120517,2021-04-21,5717,474.511,298.9991,50,136.6363,121709,2020-10-05,ua
1120973,2021-04-13,5531,442.48,235.0675,50,,121736,2021-01-15,no
1120999,2021-04-18,5959,631.654,267.5591,100,143.6119,121737,2020-11-20,en
1120974,2021-04-23,1587,150.765,83.0001,150,36.3423,121737,2020-11-20,en
