overall interesting clarity materials tasks user_id lesson_name stream_name module_name course share45 var
4.0 4.0 4.0 4.0 4.0 16024429 "Инструменты тестирования" "Профессия инженер по тестированию 29.0 Профессия QA" "Тестирование API" "Профессия QA" 1.0 0.0
3.0 4.0 3.0 3.0 4.0 17679376 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 0.5 0.3333333333333333
4.0 4.0 5.0 3.0 4.0 11265148 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Маркетинг на международных рынках" 0.75 0.6666666666666666
5.0 5.0 5.0 5.0 5.0 17674079 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 15970399 "Урок 2. Стиль обучения и график обучения" "Профессия Аналитик данных 24.0" Soft-track "Профессия Аналитик данных" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 11564624 "Урок без имени" "Поток без имени" "Модуль без имени" "Java Рефакторинг (Не трогать)" 1.0 0.0
4.0 4.0 4.0 4.0 4.0 16139711 "Инструменты тестирования" "Профессия инженер по тестированию 29.0 Профессия QA" "Тестирование API" "Профессия QA" 1.0 0.0
4.0 4.0 4.0 4.0 4.0 17633183 "Новый ритм жизни – работа с календарем" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 1.0 0.0
4.0 4.0 3.0 3.0 3.0 1006776 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 0.25 0.25
4.0 4.0 3.0 3.0 3.0 16487928 "Техники комбинаторики" "Профессия инженер по тестированию 32.0 Профессия QA" "Основы тестирования" "Профессия QA" 0.25 0.25
4.0 4.0 3.0 4.0 3.0 15323737 "Урок 5. Работа с pandas" "Профессия Аналитик данных 20.0" Python "Профессия Аналитик данных" 0.5 0.3333333333333333
3.0 3.0 3.0  2.0 16354827 "Введение в тест-дизайн. Классы эквивалентности и граничные значения" "Профессия инженер по тестированию 31.0 Профессия QA" "Основы тестирования" "Профессия QA" 0.0 0.33333333333333337
5.0 5.0 5.0 5.0 5.0 15427115 "SELECT- запросы, изменения данных" "Профессия инженер по тестированию 26.0 Профессия QA" SQL "Профессия QA" 1.0 0.0
4.0 4.0 5.0 4.0 3.0 17666753 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 0.75 0.6666666666666666
4.0 3.0 5.0 3.0  17445983 "Добро пожаловать" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 0.25 1.3333333333333333
3.0 3.0 2.0 2.0 2.0 1631583 "10.1 Git / Github / Flask" "Профессия Python-разработчик 13.0" "3. Основы веб-разработки" "Профессия Python разработчик" 0.0 0.25
5.0 5.0 5.0 5.0 5.0 17621041 "Добро пожаловать!" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 17621041 "У меня получилось: видео-истории выпускников" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.0
3.0 4.0 5.0 4.0 4.0 13963216 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Полное погружение в маркетинг" 1.0 0.25
3.0 3.0 3.0 2.0 2.0 14917687 "Система контроля версий Git" "Профессия инженер по тестированию 24.0 Профессия QA" "Инструменты тестировщика" "Профессия QA" 0.0 0.3333333333333333
5.0 5.0 5.0 5.0 5.0 16180118 "10.2 Git / Github / Flask" "Профессия Python-разработчик 13.0" "3. Основы веб-разработки" "Профессия Python разработчик" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 16200497 "Урок 4. Теория вероятности в SQL" "Профессия Аналитик данных 25.0" SQL "Профессия Аналитик данных" 1.0 0.0
4.0 4.0 4.0 4.0 4.0 17708791 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.0
4.0 4.0 3.0 4.0 4.0 16635394 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 0.75 0.25
4.0 4.0 4.0 4.0 4.0 16551393 "Циклы. Урок 2" "Профессия Java-разработчик 13.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 16752693 "Объекты и классы" "Профессия Digital Sprint Java-разработчик 3.0" "1. Введение в профессию и синтаксис языка" "Профессия Sprint Java разработчик" 1.0 0.0
5.0 4.0 4.0 4.0 4.0 16635394 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 16331071 "Объекты и классы" "Профессия Digital Sprint Java-разработчик 3.0" "1. Введение в профессию и синтаксис языка" "Профессия Sprint Java разработчик" 1.0 0.25
2.0 2.0 5.0 3.0 3.0 15185513 "3. Позитивные и негативные фокусы" "Профессия Python-разработчик 16.0" "0. Soft track (надпрофессиональные навыки)" "Профессия Python разработчик" 0.25 1.5833333333333333
4.0 4.0 5.0 4.0 4.0 17708791 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.25
4.0 4.0 5.0 4.0 4.0 11935685 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.25
5.0 4.0 4.0 4.0 4.0 16635394 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 17621041 "Добро пожаловать!" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.0
5.0 4.0 5.0 2.0 4.0 3616502 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 0.75 1.5833333333333333
4.0 3.0 4.0 3.0 3.0 16518323 "Техники комбинаторики" "Профессия инженер по тестированию 32.0 Профессия QA" "Основы тестирования" "Профессия QA" 0.25 0.25
5.0 5.0 3.0 4.0 2.0 16592218 "Знакомство с графическими редакторами" "Профессия Веб-разработчик 9.0" "1. Введение в профессию, вёрстка и дизайн" "Профессия Веб-разработчик" 0.5 1.6666666666666667
4.0 4.0 4.0 4.0 4.0 15683890 "17.2 REST API FLASK + Сериализация" "Профессия Python-разработчик 11.0" "4. Разработка API на Flask" "Профессия Python разработчик" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 17288871 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.0
4.0 4.0 3.0 3.0 3.0 16274430 Enum "Профессия Digital Java-разработчик 1.0" "Java Core" "Профессия Java разработчик" 0.25 0.25
5.0 5.0 5.0 5.0 5.0 15684205 "17.1 REST API FLASK + Сериализация" "Профессия Python-разработчик 11.0" "4. Разработка API на Flask" "Профессия Python разработчик" 1.0 0.0
4.0 4.0 5.0   17633183 "Добро пожаловать" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 0.5 0.5
3.0 3.0 4.0 2.0 3.0 16600251 Циклы "Профессия Java-разработчик 13.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 0.25 0.6666666666666666
5.0 5.0 5.0 5.0 5.0 17708872 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.0
5.0 5.0 5.0 2.0 2.0 17104532 "Урок 3. Агрегация данных" "Профессия Аналитик данных 29.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 0.5 3.0
4.0 4.0 5.0 5.0 4.0 17657414 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.3333333333333333
5.0 5.0 5.0 5.0 4.0 16493116 "Циклы. Урок 2" "Профессия Digital Java-разработчик 2.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 1.0 0.25
4.0 4.0 5.0 4.0 4.0 15417966 "Мобильные приложения и их разновидности" "Профессия инженер по тестированию 26.0 Профессия QA" "Тестирование мобильных приложений" "Профессия QA" 1.0 0.25
5.0 4.0 5.0 4.0 4.0 10167672 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Директор по Маркетингу" 1.0 0.25
4.0 4.0 5.0 5.0 5.0 17657414 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.25
5.0 5.0 5.0   16462908 "У меня получилось: видео-истории выпускников" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 0.5 0.0
5.0 5.0 5.0 5.0 5.0 17566007 "Урок без имени" "Поток без имени" "Модуль без имени" "SQL для анализа данных" 1.0 0.0
4.0 5.0 5.0 4.0 4.0 13401313 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.3333333333333333
5.0 5.0 5.0 4.0 5.0 14248724 "20.2 Автоматичеcкое тестирование приложений на Flask" "Профессия Python-разработчик 7.0" "4. Разработка API на Flask" "Профессия Python разработчик" 1.0 0.25
4.0 4.0 4.0 4.0 4.0 16530145 "Урок 1. Логика: необходимые и достаточные условия" "Профессия Аналитик данных 27.0" Логика "Профессия Аналитик данных 4.0" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 629704 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.0
5.0 5.0 5.0 4.0 4.0 11922996 "Урок без имени" "Поток без имени" "Модуль без имени" "Дополнение к Профессии Аналитик данных 2.0" 1.0 0.3333333333333333
5.0 5.0 5.0 5.0 5.0 16038625 "Урок 1. Базовые запросы в SQL" "Профессия Аналитик данных 24.0" SQL "Профессия Аналитик данных" 1.0 0.0
3.0 3.0 4.0 3.0 3.0 14987778 "Система контроля версий Git" "Профессия инженер по тестированию 24.0 Профессия QA" "Инструменты тестировщика" "Профессия QA" 0.25 0.25
4.0 4.0 4.0 4.0 4.0 14249680 "29.2 Вьюсеты и сериализаторы" "Профессия Python-разработчик 7.0" "6. Разработка API на Django" "Профессия Python разработчик" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 16624882 "Урок 6. Визуализация данных и продвинутые инструменты дизайна" "Профессия Аналитик данных 28.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.25
4.0 4.0 5.0 4.0 4.0 3285435 "Как устроен марафон" "Марафон от Skypro: Выбери свою IT-профессию" Введение "Марафон от Skypro: Выбери свою IT-профессию" 1.0 0.25
5.0 4.0 4.0 4.0 4.0 16424607 "Объекты и классы" "Профессия Digital Java-разработчик 2.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 1.0 0.0
5.0 5.0 4.0 4.0 5.0 16051385 "10.2 Git / Github / Flask" "Профессия Python-разработчик 13.0" "3. Основы веб-разработки" "Профессия Python разработчик" 1.0 0.3333333333333333
4.0 4.0 4.0 4.0 5.0 4267964 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.25
4.0 4.0 5.0 4.0 4.0 3285435 "Как устроен марафон" "Марафон от Skypro: Выбери свою IT-профессию" Введение "Марафон от Skypro: Выбери свою IT-профессию" 1.0 0.25
2.0 4.0 1.0 4.0 4.0 16357631 "Урок 6. Основы Юнит-экономики в Excel" "Профессия Аналитик данных 26.0" Excel "Профессия Аналитик данных" 0.75 2.25
4.0 4.0 4.0 4.0 4.0 15670636 "Введение в автоматизацию тестирования" "Профессия инженер по тестированию 27.0 Профессия QA" "Тестирование API" "Профессия QA" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 16280240 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.25
4.0 4.0 5.0 4.0 4.0 17131007 "Урок без имени" "Поток без имени" "Модуль без имени" "Какой язык программирования изучать?" 1.0 0.25
3.0 3.0 3.0 1.0 3.0 12674962 "Объектно-ориентированное программирование (ООП) -Полиморфизм, generic" "Профессия Digital Java-разработчик 1.0" "Java Core" "Профессия Java разработчик" 0.0 1.0
5.0 5.0 5.0  4.0 17288871 "У меня получилось: видео-истории выпускников" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 0.75 0.33333333333333337
3.0 4.0 3.0   15994230 "Инструменты тестирования" "Профессия инженер по тестированию 29.0 Профессия QA" "Тестирование API" "Профессия QA" 0.25 0.5
5.0 4.0 4.0 4.0 4.0 15357807 "19.1 Сессии, пользователи и контроль доступа" "Профессия Python-разработчик 10.0" "4. Разработка API на Flask" "Профессия Python разработчик" 1.0 0.0
4.0 4.0 5.0  5.0 14357115 "Условный оператор" "Профессия Java-разработчик 13.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 0.75 0.33333333333333337
4.0 4.0 5.0 5.0 5.0 16295979 "Отчетность и метрики тестирования" "Профессия инженер по тестированию 30.0 Профессия QA" "Основы тестирования" "Профессия QA" 1.0 0.25
4.0 4.0 4.0 4.0 4.0 13737857 "6 урок. Контекст вычисления и его модификация" "Профессия Аналитик данных 11.0" BI "Профессия Аналитик данных 2.0" 1.0 0.0
4.0 4.0 4.0 4.0 4.0 17672698 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 17672698 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 16460420 "Урок 3. Агрегация данных" "Профессия Аналитик данных 28.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.25
5.0 5.0 5.0 5.0 5.0 17672698 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 12132041 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Полное погружение в маркетинг" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 17672698 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 15770906 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Полное погружение в маркетинг" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 15717675 "17.2 REST API FLASK + Сериализация" "Профессия Python-разработчик 11.0" "4. Разработка API на Flask" "Профессия Python разработчик" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 5978693 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Директор по Маркетингу" 1.0 0.25
3.0 4.0 2.0 3.0 2.0 17441158 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 0.25 0.9166666666666666
4.0 4.0 3.0 3.0 4.0 13707765 "37 Шеринг доски" "Профессия Python-разработчик 5.0" "7. Типовые задачи разработчика" "Профессия Python разработчик" 0.5 0.3333333333333333
5.0 4.0 4.0 4.0 4.0 10339692 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 16180118 "10.1 Git / Github / Flask" "Профессия Python-разработчик 13.0" "3. Основы веб-разработки" "Профессия Python разработчик" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 13825472 "Новый ритм жизни – работа с календарем" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 1.0 0.25
5.0 4.0 5.0 5.0 4.0 17670025 Баг-репорты "Марафон от Skypro: Выбери свою IT-профессию" "Инженер по тестированию" "Марафон от Skypro: Выбери свою IT-профессию" 1.0 0.3333333333333333
5.0 4.0 5.0 5.0 5.0 17669434 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.25
5.0 5.0 5.0 4.0 5.0 17672698 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.25
